id_inventario,titulo,nombre_autor,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
1001617,SIETE DE ESPADAS,"SEGURA, JUANA",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001618,LA ORZA,"BARNUEVO, MANUEL",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001619,ARROPE Y FLORES,EMILIO PASCUAL,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001620,LAS DOS ORZAS,"MARTINEZ MENGUAL, ANTONIO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001621,MONUMENTO A LA CAPA,"TOLEDO TORRECILLAS, LUIS",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001622,OBRAS EN EL CENAJO,"GOMEZ CANO, ANTONIO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001623,TITULO DESCONOCIDO,"MONTERO FENOLLOS, LUISA",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001624,HOMENAJE A PALLADIO,"PORRAS LOBO, LUISA",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001625,MOMENTO,"CEBALLOS, TOMY",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001626,DAFNE,"CARBONELL TATAY, AMPARO",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001627,"VENUS BELLUM, VENUS BELLUM","MONTALBAN ROMERO, ROSARIO",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001628,TITULO DESCONOCIDO,"PONTE PUCHE, JOSE",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001629,TRAMPA,VICENTE LOPEZ JOSE MARIA,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001631,TIEMPO TRAS EL TIEMPO,"HARO, ANGEL",165.0,130.0,157.0,DESCONOCIDA,ESCULTURA,TELA,MADERA,COMPOSICION
1001632,MOVIL S/T,"CANSECO LAVADO, MIGUEL",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001633,"PARA MURCIA I, II, III.",ULI SCHWANDWER,61.0,100.0,200.0,DESCONOCIDA,ESCULTURA,HIERRO,MARMOL,COMPOSICION
1001634,POR W. LAIB'94,"NOGUERO RICOL, JOSE",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001635,CERCA DE PORTMAN,"NIETO, ENRIQUE",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001636,EL MARTIRIO DE SAN MIGUEL,LIDO RICO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001637,REPLICA DEL AUTOGIRO DE LA CIERVA,PABLO SACRISTAN FELIX LUENGO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001638,CABALLO,"GARCIA ARROYO, MARIA A.",0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1001639,AS DE OROS,"PEREZ MARTINEZ, AURELIO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001640,DOS DE OROS.,"SERNA VERDU, PEDRO",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001641,TRES DE OROS.,"AVELLANEDA, MANUEL",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001642,CUATRO DE OROS,"GARZA,RAMON",0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001643,CINCO DE OROS,LIDO RICO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION
1001644,SUE�O ESTANDO DESPIERTA,"SASTRE, ADELA",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001645,JOSEF BEUYS EN LA MALVARROSA,"CHARRIS, ANGEL MATEO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001647,ESPEJO ALFONSINO,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,OTROS,MADERA,CRISTAL,SIN DEFINIR
1001648,ENTIERRO DE LA SARDINA (3),"GARRIGOS MESEGUER, ALFONSO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001649,ENTIERRO DE LA SARDINA (4),"GARRIGOS MESEGUER, ALFONSO",0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1001650,CALLE,"PASTOR, J.",0.0,24.0,35.0,DESCONOCIDA,PINTURA,,,PAISAJE
1001651,PAISAJE URBANO,"PASTOR, J.",0.0,24.0,35.0,DESCONOCIDA,PINTURA,,,PAISAJE
