N�_INVENTARIO;TITULO;NOMBRE_AUTOR;FECHA_CREACION;FONDO;ANCHO;ALTO;TECNICA;TIPO;MATERIAL_BASE;MATERIAL_SECUNDARIO;TEMATICA;ESTADO_PATRIMONIAL;USUARIO;ALTA;VALOR_ADQUISICION
1002262;COMPOSICION;"PUJANTE, MA. ROSA";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;1803.04
1002263;SEGADORA;"ROS, ANTONIO";;0;0;0;;ESCULTURA;;;;Alta patrimonial;;COMPRAVENTA;2404.05
1002264;ANGEL;"SALZILLO, FRANCISCO";01.01.1700;100;80;115;;IMAGINERIA;MADERA;TEMPLE;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;30050.61
1002267;ANGEL;"SALZILLO, FRANCISCO";01.01.1700;100;80;115;;IMAGINERIA;MADERA;ESTOFADO;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;30050.61
1002268;SAN JOSE;TALLER DE SALZILLO;;55;60;132;;IMAGINERIA;MADERA;TEMPLE;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;36060.73
1002269;SAN JOAQUIN;TALLER DE SALZILLO;;55;65;140;;IMAGINERIA;MADERA;TEMPLE;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;36060.73
1002270;EL SALTO;"SEIQUER, ELISA";01.01.1971;106;152;174;;ESCULTURA;;OTROS;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;6010.12
1002271;FIGURA;"SEIQUER, ELISA";;95.5;38.5;70;;ESCULTURA;;OTROS;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;3005.06
1002272;MUJER RECOSTADA;"SEIQUER, ELISA";;87;120;78;;ESCULTURA;;;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;1803.04
1002273;JOSE ANTONIO PRIMO DE RIVERA;SEIQUER ZENON;;0;22;40;;ESCULTURA;;BRONCE;RETRATO;Alta patrimonial;;COMPRAVENTA;901.52
1002274;RETABLO DEL CRISTO YACENTE;"SISTORI, PABLO";;0;0;0;;IMAGINERIA;YESO;OTROS;RELIGIOSA;Alta patrimonial;;COMPRAVENTA;90151.82
1002275;NI�OS JUGANDO;"TOLEDO SANCHEZ, FRANCISCO";;120;75;125;;ESCULTURA;;BRONCE;COMPOSICION;Adscrito patrimonial;INSTITUTO MURCIANO DE ACCION SOCIAL;COMPRAVENTA;10818.22
1002276;SAN JUAN;"TOLEDO SANCHEZ, FRANCISCO";;0;0;0;;IMAGINERIA;;;;Alta patrimonial;;COMPRAVENTA;4207.08
1002277;CABEZA;"TOLEDO, J.";;7;22;24;;ESCULTURA;;;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;2103.54
1002278;MONUMENTO A LOS CAIDOS ACADEM. G. AIRE;"TOLEDO SANCHEZ, FRANCISCO";;10.12;25;66;;ESCULTURA;;BRONCE;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;2404.05
1002279;CABEZA;"TOLEDO, J.";;0;21;38;;ESCULTURA;;;FIGURATIVO;Alta patrimonial;;COMPRAVENTA;1803.04
