id_inventario,titulo,nombre_autor,fecha_creacion,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica,estado_patrimonial,usuario,alta,valor_adquisicion(euros)
1001577,SIETE DE BASTOS,"CANOVAS SALA, FRANCISCO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001578,OCHO DE BASTOS,"LINARES, ESTEBAN",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001579,NUEVE DE BASTOS,"VIVO, PACO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001580,DIEZ DE BASTOS,"DELGADO, MANUEL",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001581,ONCE DE BATOS,"CONESA, PACO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001582,DOCE DE BASTOS,"GARCIA OLIVARES, ADELA",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001583,COMODIN,"PINA NORTES, �NGEL",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001584,COMODIN,"BALLESTER, ANTONIO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,ESCULTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001585,MAS ALLA DEL MAR,"ANDREU MAURANDI, DOLORES",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,10818.22
1001586,CARTEL CAMPA�A ANIMACION A LA LECTURA,"SERNA VERDU, PEDRO",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,DIBUJO,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,707.07
1001587,TEXTURAS VEGETALES,"SALAS, PILAR",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,300.51
1001588,EIROS(LIMONES),"SALAS, PILAR",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,240.4
1001589,ALMENDRO,"BOVET, MATEO",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,240.4
1001590,ALCARRE�A Y NARANJOS,"BORONAT, M.",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,180.3
1001591,VENTANA ANDALUZA,"MERCADO, JUAN DE DIOS",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,240.4
1001592,SEIS DE OROS,"NIETO, ENRIQUE",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001593,SIETE DE OROS,"STILES, PAUL",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001594,OCHO DE OROS,"HERNANDEZ COP, FRANCISCO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001595,NUEVE DE OROS,"�IGUEZ, FRANCISCO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001596,DIEZ DE OROS,"GONZALEZ ALBERDI, MERCEDES",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001597,ONCE DE OROS,"PARRAGA, JOSE MARIA",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001598,DOCE DE OROS,"CHARRIS, ANGEL MATEO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001599,AS DE COPAS,"GAYA, RAMON",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001600,COPAS BARAJA MURCIANA - EXPOSICION U..,VARIOS,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001601,TRES DE COPAS,"MORALES, SOFIA",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001602,CUATRO DE COPAS,"CATARINEU, DORA",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001603,CINCO DE COPAS,"FALGAS RIGAL, JOSE MARIA",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001604,SEIS DE COPAS,"TRENADO, CARMELO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001605,SIETE DE COPAS,"HERNANSAEZ DE DIOS, ANGEL",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001606,OCHO DE COPAS,"CEREZO MONTILLA, FRANCISCO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001607,NUEVE DE OCPAS,"GARCIA, IGNACIO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001608,DIEZ DE COPAS,"MU�OZ BARBERAN, MANUEL",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001609,ONCE DE COPAS,"GARCIA SILVA, FRANCISCO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001610,DOCE DE COPAS,"SAEZ, ASENSIO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001611,AS DE ESPADAS,"CANO HERNANDEZ, PEDRO",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001612,DOS DE ESPADAS,BERNAL AGUIRRE,DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001613,TRES DE ESPADAS,"MONEREO, CHELETE",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001614,CUATRO DE ESPADAS,"CASCAJOSA ARROYO, ENRIQUE",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001615,CINCO DE ESPADAS,"RUIZ, VICENTE",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001616,SEIS DE ESPADAS,EMILIO PASCUAL,DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001617,SIETE DE ESPADAS,"SEGURA, JUANA",DESCONOCIDO,0.0,30.0,40.0,DESCONOCIDA,PINTURA,,,COMPOSICION,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1202.02
1001618,LA ORZA,"BARNUEVO, MANUEL",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,300.51
1001619,ARROPE Y FLORES,EMILIO PASCUAL,DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,300.51
1001620,LAS DOS ORZAS,"MARTINEZ MENGUAL, ANTONIO",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,300.51
1001621,MONUMENTO A LA CAPA,"TOLEDO TORRECILLAS, LUIS",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,13823.28
1001622,OBRAS EN EL CENAJO,"GOMEZ CANO, ANTONIO",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,8113.66
1001623,TITULO DESCONOCIDO,"MONTERO FENOLLOS, LUISA",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Adscrito patrimonial,SERVICIO MURCIANO DE SALUD,COMPRAVENTA,0.0
1001624,HOMENAJE A PALLADIO,"PORRAS LOBO, LUISA",DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR,Alta patrimonial,SIN DEFINIR,COMPRAVENTA,1652.78
