,nombre_autor
571,BALLESTER PINILLOS
572,"FERNANDEZ DE MOYA, DIEGO"
573,"GAYA, RAMON"
574,"GAYA, RAMON"
575,"GAYA, RAMON"
576,"GAYA, RAMON"
577,"GAYA, RAMON"
578,"CORONADO, MANUEL"
579,DESCONOCIDO
580,DESCONOCIDO
581,DESCONOCIDO
582,"MONEREO, CHELETE"
583,"RUIZ, VICENTE"
584,"BALLESTER, ANTONIO"
585,"AYALA, DIEGO DE"
586,"BARNUEVO, MANUEL"
587,DESCONOCIDO
588,"ALONSO LUZZY, RAMON"
589,"ALONSO LUZZY, RAMON"
590,DESCONOCIDO
591,DESCONOCIDO
592,"ALMANSA, NICOLAS"
593,"ALMANSA, NICOLAS"
594,"GOMEZ CANO, CARLOS"
595,HERNANDEZ CANO
596,"ROBLES LOPEZ, JOSE MARIA"
597,"ARAEZ, MONTSE"
598,"ARTIGAS GUILLAMON ,CARMEN"
599,"SERNA VERDU, PEDRO"
600,"SAURA MIRA, FULGENCIO"
601,"MU�OZ BARBERAN, MANUEL"
602,"HERNANSAEZ DE DIOS, ANGEL"
603,DESCONOCIDO
604,"GAYA, RAMON"
605,"CORONADO, MANUEL"
606,"CORONADO, MANUEL"
607,"CORONADO, MANUEL"
608,"CAMPUZANO MORENO, ESTEBAN"
609,"DIS BERLIN CARRERA, MARIANO"
610,"INSERTIS, PILAR"
611,"ISIDRO NORIEGA,JUAN FRANCISCO"
612,"NAVARRO BALDEWEG, JUAN"
613,PATI�O ANTON
614,PRADAS CHARO
615,"UGALDE DIEZ, JUAN"
616,"VAZQUEZ, XEXUS"
617,"VON BERNER, DARYA"
618,"MOLINA SANCHEZ, JOSE ANTONIO"
619,"GOMEZ CANO, CARLOS"
620,"AVELLANEDA, MANUEL"
621,GARCIA JIMENEZ. JUAN E.
622,GARCIA JIMENEZ. JUAN E.
623,"PARDO, PEDRO"
624,"PARDO, PEDRO"
625,"HERNANSAEZ DE DIOS, ANGEL"
626,"SERNA VERDU, PEDRO"
627,"GARCIA SILVA, FRANCISCO"
628,"WHISHAW, ANTHONY"
629,"CANO HERNANDEZ, PEDRO"
630,"FLORES, PEDRO"
631,"MURIEDAS MAZORRA, JOSE"
632,"PUJANTE, MA. ROSA"
633,"PUJANTE, MA. ROSA"
634,"ROS, ANTONIO"
635,"SALZILLO, FRANCISCO"
636,"SALZILLO, FRANCISCO"
637,TALLER DE SALZILLO
638,TALLER DE SALZILLO
639,"SEIQUER, ELISA"
640,"SEIQUER, ELISA"
641,"SEIQUER, ELISA"
642,SEIQUER ZENON
643,"SISTORI, PABLO"
644,"TOLEDO SANCHEZ, FRANCISCO"
645,"TOLEDO SANCHEZ, FRANCISCO"
646,"TOLEDO, J."
647,"TOLEDO SANCHEZ, FRANCISCO"
648,"TOLEDO, J."
649,VILLAESCUSA A.
650,"CAMPUZANO MORENO, ESTEBAN"
651,"CAMPUZANO MORENO, ESTEBAN"
652,CANCIO
653,"GONZALEZ MARCO,JOSE"
654,"GONZALEZ MARCO,JOSE"
655,"FLORES, PEDRO"
656,"GONZALEZ MORENO, JUAN"
657,"GONZALEZ MORENO, JUAN"
658,"FLORES, PEDRO"
659,"GONZALEZ MORENO, JUAN"
660,"MARTINEZ, ANASTASIO"
661,"MARTINEZ, ANASTASIO"
662,MARTINEZ REINA
663,MARTINEZ REINA
664,MARTINEZ REINA
665,MARTINEZ REINA
666,MARTINEZ REINA
667,MARTINEZ REINA
668,"MOLERA, JOSE"
669,"MOLERA, JOSE"
670,"MOLERA, JOSE"
671,"MORENO CASCALES, JOSE"
672,"MORENO CASCALES, JOSE"
673,"MORENO MORVIEDRO, ELOY"
674,"MARTINEZ MANZANO, ANTONIO"
675,"MORENO SANDOVAL, CEFERINO"
676,DESCONOCIDO
677,"ARDIL PAGAN, MANUEL"
678,"BELTRAN, DOMINGO"
679,"BOLARIN, LUIS"
680,"BOLARIN, LUIS"
681,"CARRILERO, JOSE"
682,"CARRILERO, JOSE"
683,"CARRILERO, JOSE"
684,"CARRION VALVERDE, ANTONIO"
685,"GARCIA MENGUAL, JOSE"
686,"GARCIA MENGUAL, JOSE"
687,"GARCIA MENGUAL, JOSE"
688,CAMPILLO CARCELES
689,"GARRIGOS, ANTONIO"
690,CAMPILLO CARCELES
691,"GIMENEZ CARRAMI�ANA, SARA"
692,"PEREZ MARTINEZ, AURELIO"
693,PEYROT
694,"PINA NORTES, �NGEL"
695,PONTONES
696,"PORTELA, FRANCISCO"
697,"PORTELA, FRANCISCO"
698,"PORTELA, FRANCISCO"
699,"PRIETO, GREGORIO"
700,"PUCH ORTA, GONZALO"
701,"PUCHE, AMADOR"
702,"PUCHE, AMADOR"
703,"QUEJIDO, MANUEL"
704,MIGUEL ANGEL R.
705,RAMIREZ
706,RENTERO M.
707,"REYES GUILLEN, J."
708,"REYES GUILLEN, J."
709,"BLAS, J.T. DE"
710,"REYES GUILLEN, J."
711,VAN DEN BULLKEN
712,"CACHO, JOSE LUIS"
713,DESCONOCIDO
714,YES CAMACHO
715,CAMPANO
716,DESCONOCIDO
717,DESCONOCIDO
718,"MARTINEZ, ANASTASIO"
719,DESCONOCIDO
720,DESCONOCIDO
721,DESCONOCIDO
722,DESCONOCIDO
723,DESCONOCIDO
724,"SEIQUER, ELISA"
725,"PEREZ MARTINEZ, AURELIO"
726,"PEREZ MARTINEZ, AURELIO"
727,"PEREZ MARTINEZ, AURELIO"
728,"PEREZ MARTINEZ, AURELIO"
729,"PEREZ MARTINEZ, AURELIO"
730,"PEREZ MARTINEZ, AURELIO"
731,"PASCUAL, J."
732,"PASCUAL Y WALLS, JOSE"
733,"PASTOR, LUIS MANUEL"
734,"PASTOR ORTEGA, JOSE MIGUEL"
735,"PASTOR ORTEGA, JOSE MIGUEL"
736,"PASTOR, J."
737,"PASTOR, J."
738,"PASTOR, J."
739,"PASTOR ORTEGA, JOSE MIGUEL"
740,"PASTOR ORTEGA, JOSE MIGUEL"
741,"PASTOR ORTEGA, JOSE MIGUEL"
742,"PASTOR, LUIS"
743,"PASTOR, LUIS"
744,"BENEDI, OSCAR"
745,"BLAYA, TERESA"
746,"VIUDES, VICENTE"
747,"BONAFE, JUAN"
748,"BONAFE, JUAN"
749,"VIUDES, VICENTE"
750,"BOVET, MATEO"
751,"BRULL, JAIME"
752,MARTINEZ JADRAQUE
753,MARTINEZ LOZANO
754,NAVARRO MU�OZ
755,"NAVARRO, GABRIEL"
756,"NAVARRO, GABRIEL"
757,"NICOLAS, ANTONIO"
758,OBON BUJ
759,"ORTEGA LOPEZ, ANTONIO"
760,"ORTEGA LOPEZ, ANTONIO"
761,"ORTU�O, JUAN"
762,"PALAO, M."
763,PAREDES
764,"PARDO, PEDRO"
765,"NAVARRO, GABRIEL"
766,"ESTEBAN NURILLO, BARTOLOME"
767,"PARRA, LEANDRO"
768,"PARRA, LEANDRO"
769,"PARRAGA, JOSE MARIA"
770,"PARRAGA, JOSE MARIA"
771,"PARRAGA, JOSE MARIA"
772,"PARRAGA, JOSE MARIA"
773,"BARBERA ZAMORA, JUAN"
774,"LORENTE, PEDRO"
775,"VALVERDE CANOVAS, MIGUEL"
776,"VALVERDE CANOVAS, MIGUEL"
777,"LORENTE, PEDRO"
778,"LOZANO, JOSE ANTONIO"
779,"VALVERDE CANOVAS, MIGUEL"
780,"LUCAS, PEPE"
781,"VALVERDE CANOVAS, MIGUEL"
782,"LUCAS, PEPE"
783,"VALVERDE CANOVAS, MIGUEL"
784,"LUCAS, PEPE"
785,"VALVERDE CANOVAS, MIGUEL"
786,LUIS MANUEL
787,LUIS MANUEL
788,"MARQUEZ HERNANDEZ, RAFAEL"
789,"MARQUEZ HERNANDEZ, RAFAEL"
790,"MARTINEZ, JOSE RAMON"
791,MARTINEZ CANO
792,"MARTINEZ F., ANGEL"
793,"IZMA, J."
