id_autor,id_usuario,titulo,fondo (cm),ancho (cm),alto (cm),tecnica,tipo,material_base,material_secundario,tematica
2079,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2050,1,CONCIERTO BARROCO,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2076,1,LA LLUVIA Y EL POETA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2160,1,EL PAPA VERDE MAYARI,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2053,1,SOR INES DE LA CRUZ,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1650,1,ESFERA Y GOLONDRINAS,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1651,1,AUSENCIAS,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2163,4,CALLE TIPICA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2164,1,MARRANERA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2165,1,VARADERO,0.0,22.5,33.0,DESCONOCIDA,PINTURA,PAPEL,ACUARELA,MARINA
2164,1,PAISAJE CON MONTA�A,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2166,1,PAISAJE,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1656,1,CUEVAS DEL SACROMONTE,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2168,1,DESVAN,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2169,4,CALLE MORERIA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2111,1,CUPULA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2111,1,NATURA MORTA,0.0,90.0,63.5,DESCONOCIDA,PINTURA,PAPEL,TECNICA MIXTA,COMPOSICION
2170,1,BODEGON,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
2171,1,ALEGRIA,0.0,0.0,0.0,DESCONOCIDA,PINTURA,,,SIN DEFINIR
1661,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,DIBUJO,,,SIN DEFINIR
2076,1,TITULO DESCONOCIDO,0.0,68.5,98.5,DESCONOCIDA,ESCULTURA,PAPEL,ACRILICO,COMPOSICION
2173,1,TORSO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1663,1,ZIGURAT,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
1664,1,TITULO DESCONOCIDO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2176,1,ENTIDADES SUTILES,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2177,1,ESPACIO Y TIEMPO SONORO,0.0,0.0,0.0,DESCONOCIDA,ESCULTURA,,,SIN DEFINIR
2048,1,ESPACIO INTERIOR,30.0,26.0,25.0,DESCONOCIDA,ESCULTURA,HIERRO,ACERO,SIN DEFINIR
